Facility,Description - UPPERCASE,Unit Price
Cooper Service Area,ABACAVIR 20 MG/ML ORAL SOLUTION,$44.52
Cooper Service Area,ABACAVIR 20 MG/ML ORAL SOLUTION,$38.05
Cooper Service Area,ABACAVIR 300 MG TABLET,$45.16
Cooper Service Area,ABACAVIR 300 MG TABLET,$42.80
Cooper Service Area,ABACAVIR 300 MG TABLET,$41.88
Cooper Service Area,ABACAVIR 300 MG TABLET,$41.61
Cooper Service Area,ABACAVIR 300 MG TABLET,$38.97
Cooper Service Area,ABACAVIR 300 MG TABLET,$12.13
Cooper Service Area,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,$208.83
Cooper Service Area,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,$180.42
Cooper Service Area,ABACAVIR 600 MG-LAMIVUDINE 300 MG TABLET,$48.81
Cooper Service Area,ABCIXIMAB 10 MG/5 ML INTRAVENOUS SOLUTION,"$6,538.67"
Cooper Service Area,ABUTMENT 3MM HT 3.5 REG EMERGENCE LSR LCK HL [PYHRA3],$236.44
Cooper Service Area,ABUTMENT 3MM HT 3.5 REG EMERGENCE LSR LCK HL [PYRHA3],$196.91
Cooper Service Area,ABUTMENT 3MM HT 4.5 REG EMERGENCE LSR LCK HL [PGRHA3],$196.91
Cooper Service Area,ABUTMENT 4.6X12MM 4.5 PLAT RBT,"$1,073.79"
Cooper Service Area,ABUTMENT 5.8X10.5MM 5.7 PLAT RBT,"$1,073.79"
Cooper Service Area,ABUTMENT 5MM HT 3.5 REG EMERGENCE LSR LCK HL [PYRHA5],$196.91
Cooper Service Area,ABUTMENT 5MM HT 4.5 REG EMERGENCE LSR LCK HL [PGRHA5],$196.91
Cooper Service Area,ABUTMENT 5MM HT 5.7 REG EMERGENCE LSR LCK HL,$196.91
Cooper Service Area,ABUTMENT 8MM BA400 ,"$10,379.00"
Cooper Service Area,ABUTMENT AQUA HEALING 5.5X6MM ,$291.00
Cooper Service Area,ABUTMENT ASTRA HEALING 3.0  [25017],$291.00
Cooper Service Area,ABUTMENT HEALING 4.0 2MM ,$291.00
Cooper Service Area,ABUTMENT HEALING 4.0 4MM ,$291.00
Cooper Service Area,ABUTMENT HEALING 4.5 4MM  [24575],$291.00
Cooper Service Area,ABUTMENT HEALING 4.5/5.0 4MM UNI,$291.00
Cooper Service Area,ABUTMENT HEALING 4.5/5.0 6MM UNI,$291.00
Cooper Service Area,ABUTMENT HEALING 6.5 2MM ,$291.00
Cooper Service Area,ABUTMENT HEALING 6.5 4MM ,$291.00
Cooper Service Area,ABUTMENT HEALING 6.5 6MM ,$291.00
Cooper Service Area,ABUTMENT HL EV 3.0X2 UNI  [25574],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X3 UNI  [25575],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X3.5MM  [25298],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X4 UNI  [25576],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X4.5MM  [25297],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X6 UNI  [25577],$305.55
Cooper Service Area,ABUTMENT HL EV 3.0X6.5MM  [25795],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X2 UNI  [25285],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X3 UNI  [25578],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X3.5/5MM  [25301],$305.55
Cooper Service Area,ABUTMENT HL EV 3.6X3.5MM  [25300],$305.55
