price,description,charge_type,DateUpdated
11795.0,CARDIAC CATH LAB INITIAL 30 MINUTES,standard,2020-03-09
2530.0,CARDIAC CATH LAB EACH ADDL 30 MINUTES,standard,2020-03-09
17545.0,CARDIAC EP  SUITE INITIAL 30 MINUTES,standard,2020-03-09
3025.0,CARDIAC EP SUITE EACH ADDL 30 MINUTES,standard,2020-03-09
3872.0,CARDIAC PROCEDURE ROOM INITIAL 30 MINUTES,standard,2020-03-09
1480.0,CARDIAC PROCEDURE ROOM EACH ADDL 30 MINUTES,standard,2020-03-09
406.0,ECG (12 LEAD),standard,2020-03-09
745.0,ECG CONT TAPE,standard,2020-03-09
1121.0,MICROPROCESSER ANALYSIS W/RPT,standard,2020-03-09
21.0,MCD CHILD VAC (HEP-A     2 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (HEP-A     3 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (PRM-OMP    3 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (PRP-T     4 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (HPV     3 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (HPV     9 VAL IM),standard,2020-03-09
21.0,MCD CHILD VAC (FLU-NP< 3 YRS),standard,2020-03-09
21.0,MCD CHILD VAC (FLU-NP> 3 YRS),standard,2020-03-09
21.0,MCD CHILD VAC (FLU < 3 YRS),standard,2020-03-09
21.0,MCD CHILD VAC (FLU > 3 YRS),standard,2020-03-09
21.0,MCD CHILD VAC (PNEUMO<5YRS),standard,2020-03-09
21.0,MCD CHILD VAC (PREVNAR 13),standard,2020-03-09
21.0,MCD CHILD VAC (ROTAVIRUS     3DO),standard,2020-03-09
21.0,MCD CHILD VAC (ROTAVIRUS     2DO),standard,2020-03-09
21.0,MCD CHILD VAC (FLU NP 4VAL <3),standard,2020-03-09
21.0,MCD CHILD VAC (FLU NP 4VAL >3),standard,2020-03-09
21.0,MCD CHILD VAC (DTAP-IPV),standard,2020-03-09
21.0,MCD CHILD VAC (DTAP-HIB-IPV),standard,2020-03-09
21.0,MCD CHILD VAC (DTAP),standard,2020-03-09
21.0,MCD CHILD VAC (M-M-R),standard,2020-03-09
21.0,MCD CHILD VAC (M-M-R-V),standard,2020-03-09
21.0,MCD CHILD VAC (POLIO-IPV),standard,2020-03-09
21.0,MCD CHILD VAC (TD > 7YRS),standard,2020-03-09
21.0,MCD CHILD VAC (TDAP > 7YRS),standard,2020-03-09
21.0,MCD CHILD VAC (CHICKEN POX),standard,2020-03-09
21.0,MCD CHILD VAC (DTAP-HIB),standard,2020-03-09
21.0,MCD CHILD VAC (DTAP-HEPB-IPV),standard,2020-03-09
21.0,MCD CHILD VAC (PNEUMO>2YRS),standard,2020-03-09
21.0,MCD CHILD VAC (MENINGOC) SC,standard,2020-03-09
21.0,MCD CHILD VAC (MENINGOC) IM,standard,2020-03-09
21.0,MCD CHILD VAC (HEP-B     3 DOSE),standard,2020-03-09
21.0,MCD CHILD VAC (HEPB-HIB),standard,2020-03-09
163.0,GROUP PSYCHOTHERAPY,standard,2020-03-09
221.0,PSYCH TX IND AND/OR FAM 30MIN,standard,2020-03-09
221.0,PSYCH IND TX + EVAL&MGT 30MIN,standard,2020-03-09
221.0,PSYCH IND TX 30MIN + MED E&M,standard,2020-03-09
221.0,PSYCH TX IND AND/OR FAM 30MIN,standard,2020-03-09
223.0,INSERT DRUG DELIVERY IMPLANT,standard,2020-03-09
267.0,NUTRITION WEIGHT LOSS PROGRAM,standard,2020-03-09
295.0,PSYCH TX IND AND/OR FAM 45MIN,standard,2020-03-09
295.0,PSYCH IND TX + EVAL&MGT 45MIN,standard,2020-03-09
295.0,PSYCH IND TX 45MIN + MED E&M,standard,2020-03-09
295.0,PSYCH TX IND AND/OR FAM 45MIN,standard,2020-03-09
369.0,PSYCH TX IND AND/OR FAM 60MIN,standard,2020-03-09
