price,description,charge_type
2484,(CR) CRISTA 7F 1-3-1 20 POLE ,standard
1395,(CS) AUTO ID D-CURVE ,standard
1395,(CS) AUTO ID F-CURVE ,standard
"2,090.00",(CS) ORTH 7F D CURVE ORTH 115C ,standard
2438,(HALO) 7F 2-8-2 SPACING CATH ,standard
3680,(HALO) XP TRICUSPID W/ AUTO ID ,standard
500.00,(RA) 6F HEX 250MM FIXED CORE ,standard
885,(RV) 6F QUAD DR CATHETER ,standard
255,.004 X130CM SPARTA/CORE 14 WIR ,standard
285,.014X150CM ASAHI EXT WIRE ,standard
320,.014X180CM RUNTHROUGH NS WIRE ,standard
255.00,.014X182CM MAILMAN WIRE ,standard
255.00,.014X182CM PT GRAPHIX WIRE ,standard
255,.014X185CM IQ GUIDE WIRE ,standard
255,.014X185CM IQ MARKER GUIDE WIR ,standard
3920,.014X300CM (2.25MM-3.5MM) FILT ,standard
255.00,.014X300CM IQ GUIDE WIRE ,standard
335.00,.014X300CM IQ MARKER WIRE ,standard
255.00,.014X300CM PT GRAPHIX WIRE ,standard
335,.014X300CM PT2 GUIDE WIRE ,standard
255,.014X300CM SPARTA/CORE 14 WIRE ,standard
40,.015 X15CM STR WIRE ,standard
1045,.018 SOFT INTERLOCK EMBOLIZATION COIL ,standard
1250,.018 TRANSIT CATHETER ,standard
235,.018 X 260CM ANGLED WIRE ,standard
360,.018 X 260CM JAG GUIDE WIRE ,standard
320,.018 X 260CM PLATINUM PLUS WIR ,standard
340.00,.018 X 300CM THRUWAY WIRE ,standard
245,.018 X 4CMX 2MM TORNADO EMB CO ,standard
105,.018 X 60CM COPE NT WIRE ,standard
50,.018 X145CM J WIRE ,standard
184,.018 X150CM ANG SHAPE TIP WIRE ,standard
173,.018 X150CM ANGLED WIRE ,standard
179,.018 X180CM ANGLED WIRE ,standard
179,.018 X180CM STR GLIDEWIRE ,standard
245,.018 X5CMX 2MM TORNADO EMB COI ,standard
550,.018X180CM DBL ANG WIRE GT ,standard
255,.018X300CM STEEL/CORE 18 LT WI ,standard
255,.018X300CM STEEL/CORE 18 WIRE ,standard
2115,.018X3MMX10CM AZUR HYDOCOIL ,standard
1995,.018X3MMX5CM AZUR HYDOCOIL ,standard
105.00,.018X40CM WIRE ,standard
70,.021 X 260CM J WIRE ,standard
90,.021 X 80CM J WIRE ,standard
40.00,.021 X145CM STR WIRE ,standard
90,.025 X 260CM J EXCH WIRE (AES) ,standard
40,.025 X145CM STR WIRE ,standard
138,.025 X150CM ANGLED GLIDEWIRE ,standard
158,.025X145CM 5MM RAD TIP DEFL WI ,standard
158,.025X80CM 5MM RADIUS TIP DEFL ,standard
40,.032 X145 3 BH WIRE ,standard
80,.032 X180CM J WIRE (AES) ,standard
148,.035 X 260CM AMPLATZ SS STR WI ,standard
158.00,.035 X 260CM ANGLED GLIDEWIRE ,standard
50,.035 X 260CM J EXCH WIRE ,standard
90,.035 X 260CM J EXCH WIRE (AES) ,standard
153,.035 X 300CM AMPL GUIDE WIRE ,standard
153,.035 X 300CM AMPL NOODLE WIRE ,standard
510,.035 X135CM QUICK CROSS CATH ,standard
184.00,.035 X145CM 10MM RAD TIP DEFL ,standard
100,.035 X145CM ST SUPER STIFF WIR ,standard
315,.035 X175CM WHOLEY HTF WIRE ,standard
138,.035 X180CM ANGLED GLIDEWIRE ,standard
158,.035X145CM 5MM RADIUS TIP DEFL ,standard
90,.035X150CM ANG GLIDEWIRE ,standard
148,.035X260CM AMPLATZ SS STRAI ,standard
245,.035X260CM STR EXCH WIRE (AES- ,standard
275,.035X300CM LUNDERQ XTRA STIFF ,standard
255,.035X300CM SUPRACORE 35 WIRE ,standard
105.00,.038X 260CM J EXCH WIRE ,standard
105.00,.038X 260CM J EXCH WIRE (AES) ,standard
235,.038X 3CMX 3MM EMB COIL ,standard
