UF Health Shands Gainesville - Pricing Transparency Charge Master,,
Issued 7/1/2019,,
"NOTE: prices identified as ""Mark Up' encompass multiple items with different prices based item markup",,
,,
BILLING_DESC,UNIT,PRICE
(CR) CRISTA 7F 1-3-1 20 POLE ,EACH,2484
(CS) AUTO ID D-CURVE ,EACH,1395
(CS) AUTO ID F-CURVE ,EACH,1395
(CS) ORTH 7F D CURVE ORTH 115C ,EACH,"2,090.00"
(HALO) 7F 2-8-2 SPACING CATH ,EACH,2438
(HALO) XP TRICUSPID W/ AUTO ID ,EACH,3680
(RA) 6F HEX 250MM FIXED CORE ,EACH,500.00
(RV) 6F QUAD DR CATHETER ,EACH,885
.004 X130CM SPARTA/CORE 14 WIR ,EACH,255
.014X150CM ASAHI EXT WIRE ,EACH,285
.014X180CM RUNTHROUGH NS WIRE ,EACH,320
.014X182CM MAILMAN WIRE ,EACH,255.00
.014X182CM PT GRAPHIX WIRE ,EACH,255.00
.014X185CM IQ GUIDE WIRE ,EACH,255
.014X185CM IQ MARKER GUIDE WIR ,EACH,255
.014X300CM (2.25MM-3.5MM) FILT ,EACH,3920
.014X300CM IQ GUIDE WIRE ,EACH,255.00
.014X300CM IQ MARKER WIRE ,EACH,335.00
.014X300CM PT GRAPHIX WIRE ,EACH,255.00
.014X300CM PT2 GUIDE WIRE ,EACH,335
.014X300CM SPARTA/CORE 14 WIRE ,EACH,255
.015 X15CM STR WIRE ,EACH,40
.018 SOFT INTERLOCK EMBOLIZATION COIL ,EACH,1045
.018 TRANSIT CATHETER ,EACH,1250
.018 X 260CM ANGLED WIRE ,EACH,235
.018 X 260CM JAG GUIDE WIRE ,EACH,360
.018 X 260CM PLATINUM PLUS WIR ,EACH,320
.018 X 300CM THRUWAY WIRE ,EACH,340.00
.018 X 4CMX 2MM TORNADO EMB CO ,EACH,245
.018 X 60CM COPE NT WIRE ,EACH,105
.018 X145CM J WIRE ,EACH,50
.018 X150CM ANG SHAPE TIP WIRE ,EACH,184
.018 X150CM ANGLED WIRE ,EACH,173
.018 X180CM ANGLED WIRE ,EACH,179
.018 X180CM STR GLIDEWIRE ,EACH,179
